Time,VehicleID,Speed,BrakeStatus,Phase,Direction,HardBraking,NEWS_Score,Speed_Normalized
1970-01-01 00:00:00.000000043,7,3.89,1,NS_Green,North,0,4,0.28005759539236863
1970-01-01 00:00:00.000000043,4,3.0,1,NS_Green,East,0,4,0.2159827213822894
1970-01-01 00:00:00.000000043,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000043,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000043,7,1.39,1,NS_Green,North,0,4,0.10007199424046075
1970-01-01 00:00:00.000000043,4,4.5,1,NS_Green,East,0,4,0.3239740820734341
1970-01-01 00:00:00.000000043,6,0.67,1,NS_Green,East,0,4,0.04823614110871131
1970-01-01 00:00:00.000000044,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000044,7,0.52,1,NS_Green,North,0,4,0.037437005039596835
1970-01-01 00:00:00.000000044,4,6.0,1,NS_Green,East,0,4,0.4319654427645788
1970-01-01 00:00:00.000000044,6,1.9,1,NS_Green,East,0,4,0.13678905687544995
1970-01-01 00:00:00.000000044,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000044,7,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000044,4,7.5,1,NS_Green,East,0,4,0.5399568034557235
1970-01-01 00:00:00.000000044,6,3.12,1,NS_Green,East,0,4,0.22462203023758098
1970-01-01 00:00:00.000000045,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000045,7,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000045,4,9.0,0,NS_Green,East,0,0,0.6479481641468682
1970-01-01 00:00:00.000000045,6,4.31,1,NS_Green,East,0,4,0.3102951763858891
